0,"(2.51188643150958, 2.51188643150958)"
0,"(2.8183829312644537, 2.8183829312644537)"
0,"(3.1622776601683795, 3.1622776601683795)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(0.44668359215096315, 0.44668359215096315)"
0,"(3.1622776601683795, 3.1622776601683795)"
0,"(3.1622776601683795, 3.1622776601683795)"
0,"(2.2387211385683394, 2.2387211385683394)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(1.9952623149688795, 1.9952623149688795)"
0,"(2.2387211385683394, 2.2387211385683394)"
0,"(2.8183829312644537, 2.8183829312644537)"
0,"(3.1622776601683795, 3.1622776601683795)"
0,"(3.548133892335755, 3.548133892335755)"
0,"(2.8183829312644537, 2.8183829312644537)"
0,"(2.8183829312644537, 2.8183829312644537)"
0,"(2.2387211385683394, 2.2387211385683394)"
0,"(1.7782794100389228, 1.7782794100389228)"
0,"(1.7782794100389228, 1.7782794100389228)"
0,"(2.2387211385683394, 2.2387211385683394)"
0,"(3.548133892335755, 3.548133892335755)"
0,"(2.8183829312644537, 2.8183829312644537)"
0,"(2.51188643150958, 2.51188643150958)"
0,"(3.1622776601683795, 3.1622776601683795)"
